Time_Sec;AE_longitudinal;State_longitudinal;AE_lateral;State_lateral;AE_vertical;State_vertical;AE_roll;State_roll;AE_pitch;State_pitch;AE_yaw;State_yaw
118.104;0.0362829722069064;pass;0.03628297220688691;pass;0.1;pass;0.0;pass;1.5902773407317584e-15;pass;0.0;pass
118.221;1.9493962000183275e-14;pass;0.06637745244042947;pass;0.1;pass;0.0;pass;1.5902773407317584e-15;pass;0.0;pass
118.323;1.9493962000183275e-14;pass;0.0;pass;0.1;pass;0.0;pass;1.5902773407317584e-15;pass;0.0;pass
118.43;1.9493962000183275e-14;pass;0.06391855344680573;pass;0.1;pass;0.0;pass;1.5902773407317584e-15;pass;0.0;pass
118.534;1.9493962000183275e-14;pass;0.0;pass;0.1;pass;0.0;pass;1.5902773407317584e-15;pass;0.0;pass
118.635;1.9493962000183275e-14;pass;0.0;pass;0.1;pass;0.0;pass;1.5902773407317584e-15;pass;0.0;pass
118.736;1.9493962000183275e-14;pass;0.0;pass;0.1;pass;0.0;pass;1.5902773407317584e-15;pass;0.0;pass
118.836;1.9493962000183275e-14;pass;0.0;pass;0.1;pass;0.0;pass;1.5902773407317584e-15;pass;0.0;pass
118.936;0.06815297686745603;pass;0.0;pass;0.1;pass;0.0;pass;1.5902773407317584e-15;pass;0.0;pass
119.037;0.1000000000000195;pass;0.0;pass;0.1;pass;0.0;pass;1.5902773407317584e-15;pass;0.0;pass
119.138;0.1000000000000195;pass;0.0;pass;0.1;pass;0.0;pass;1.5902773407317584e-15;pass;0.0;pass
119.241;1.9493962000183275e-14;pass;0.1;pass;0.1;pass;0.0;pass;1.5902773407317584e-15;pass;0.0;pass
119.344;0.08777648607082986;pass;0.1;pass;0.1;pass;0.0;pass;0.01923675696459318;pass;0.0;pass
119.46;0.15821931446766213;pass;0.1;pass;0.1556061371064715;pass;0.05560613710647148;pass;0.09999999999999841;pass;0.0;pass
119.56;0.4610360098228191;pass;0.04182150245569988;pass;0.20000000000000004;pass;0.04182150245569988;pass;0.09999999999999841;pass;0.0;pass
119.671;0.24576527963104655;pass;0.07574618009224328;pass;0.12425381990775677;pass;0.0;pass;0.09999999999999841;pass;0.0;pass
119.771;0.4996928855139251;pass;0.1;pass;0.10000000000000007;pass;0.0;pass;0.09999999999999841;pass;0.0;pass
119.878;0.17704109374363686;pass;0.1;pass;0.10000000000000007;pass;0.0;pass;0.09999999999999841;pass;0.0;pass
119.985;0.1990463288048181;pass;0.1;pass;0.1000000000000001;pass;0.0;pass;0.09999999999999841;pass;0.0;pass
120.088;0.3430110103542816;pass;0.1;pass;0.04925183505904381;pass;0.0;pass;0.09999999999999841;pass;0.0;pass
120.191;0.48534817773220906;pass;0.1;pass;0.011021688895401692;pass;0.005510844447700784;pass;0.09999999999999841;pass;0.0;pass
120.292;0.33426509371211655;pass;0.1;pass;0.10617641518398631;pass;0.053088207591993085;pass;0.09999999999999841;pass;0.0;pass
120.403;0.14552890252926076;pass;0.1;pass;0.18888222563231033;pass;0.08888222563231017;pass;0.09999999999999841;pass;0.0;pass
120.511;0.20313211993845748;pass;0.10857889818741466;pass;0.10000000000000017;pass;0.0;pass;0.09999999999999841;pass;0.0;pass
120.617;0.11998280917922255;pass;0.1628424718927998;pass;0.10000000000000019;pass;0.0;pass;0.09999999999999841;pass;0.0;pass
120.73;0.2849153184825406;pass;0.2;pass;0.10000000000000021;pass;0.0;pass;0.09999999999999841;pass;0.0;pass
120.847;0.24810852886983525;pass;0.18288856610872697;pass;0.10000000000000023;pass;0.0;pass;0.09999999999999841;pass;0.0;pass
120.964;0.2189520233337241;pass;0.11580650291671286;pass;0.10000000000000024;pass;0.0;pass;0.09999999999999841;pass;0.0;pass
121.079;0.13934634325168815;pass;0.14569036567483332;pass;0.10000000000000026;pass;0.0;pass;0.09999999999999841;pass;0.0;pass
121.195;0.32050534812626097;pass;0.19075133703156014;pass;0.10000000000000027;pass;0.0;pass;0.09999999999999841;pass;0.0;pass
121.305;0.41099752756215047;pass;0.10649938189053239;pass;0.10000000000000028;pass;0.0;pass;0.09999999999999841;pass;0.0;pass
121.415;0.4000000000000199;pass;0.1;pass;0.10000000000000028;pass;0.0;pass;0.09999999999999841;pass;0.0;pass
121.521;0.05143327717875046;pass;0.1;pass;0.10484169615429959;pass;0.0;pass;0.015706777313093015;pass;0.0;pass
121.636;0.3080818540393775;pass;0.1251211678299749;pass;0.0400994004681906;pass;0.0;pass;0.021737744864606195;pass;0.0;pass
121.751;0.0006441855837460153;pass;0.2;pass;0.03457194398718288;pass;0.03697687658939953;pass;0.06172874407116735;pass;0.0;pass
121.854;0.17366354962800568;pass;0.1933726598222632;pass;0.0102059318943242;pass;0.0933726598222632;pass;0.010422660478513479;pass;0.0;pass
121.954;0.15810977520763636;pass;0.13469639122327093;pass;0.005704615518091399;pass;0.03469639122327093;pass;0.04308002870617089;pass;0.0;pass
122.065;0.21504576975203538;pass;0.12655234512039365;pass;0.0196336143910026;pass;0.026552345120393634;pass;0.046711408833041035;pass;0.0;pass
122.174;0.26595468259798416;pass;0.1823516803457465;pass;0.031284508963523805;pass;0.08235168034574648;pass;0.03209429416981324;pass;0.0;pass
122.295;0.3298811701429418;pass;0.1460767945119003;pass;0.0405734185364692;pass;0.046076794511900304;pass;0.02271074613400481;pass;0.0;pass
122.403;0.06278994921450831;pass;0.1;pass;0.050386504675186794;pass;0.0;pass;0.10883653634387458;pass;0.017262471557814116;pass
122.508;0.034582499288457136;pass;0.1;pass;0.05400558377631079;pass;0.0;pass;0.10013494705151982;pass;0.07047117876463448;pass
122.611;0.03616761787981049;pass;0.06817060578907912;pass;0.05539503727193548;pass;0.03182939421092088;pass;0.06893424073224641;pass;0.06817060578907912;pass
122.721;0.2544698740888005;pass;0.0;pass;0.054487118586593;pass;0.1;pass;0.003182846160614039;pass;0.0;pass
122.83;0.3655920775660242;pass;0.0;pass;0.05133382066221029;pass;0.1;pass;0.038981737765912516;pass;0.0;pass
122.943;0.35912050215095337;pass;0.0;pass;0.04585379823212099;pass;0.1;pass;0.10594164057890687;pass;0.0;pass
123.048;0.00979185735015986;pass;0.0;pass;0.033379689056988904;pass;0.029536496703984637;pass;0.05109566007834898;pass;0.0;pass
123.152;0.14478520273840934;pass;0.0;pass;0.03677056819400129;pass;0.02945504835548339;pass;0.0572934871366968;pass;0.0;pass
123.254;0.30198884996937725;pass;0.0;pass;0.12997482802837157;pass;0.069277284810883;pass;0.01176898081040667;pass;0.0;pass
123.355;0.4085692760846511;pass;0.009565130539016345;pass;0.17848598360197085;pass;0.1;pass;0.017952541741159678;pass;0.0;pass
123.455;0.3363717626469809;pass;0.05244394220751207;pass;0.06800053888635456;pass;0.1;pass;0.00685646993968847;pass;0.0;pass
123.555;0.26506358944839725;pass;0.09532275387601388;pass;0.04016083779306628;pass;0.1;pass;0.03178260909420283;pass;0.0;pass
123.656;0.22040261553460727;pass;0.1;pass;0.0316201496328455;pass;0.1;pass;0.06232980929851584;pass;0.0;pass
123.757;0.1819599324736485;pass;0.1;pass;0.0065034581895879;pass;0.07626518893546638;pass;0.07627310807430643;pass;0.0;pass
123.862;0.2046048987705147;pass;0.08328272911837624;pass;0.004236256424476937;pass;0.016717270881623763;pass;0.04422924433927378;pass;0.0;pass
123.963;0.20118044550101644;pass;0.025041474234855223;pass;0.02457700896807158;pass;0.07495852576514478;pass;0.07992477910617612;pass;0.0;pass
124.064;0.19295792662313538;pass;0.08956219895920256;pass;0.0174119849088729;pass;0.055218900520398725;pass;0.05003825073772061;pass;0.0;pass
124.165;0.17724064083742164;pass;0.18502119312137513;pass;0.0020115707337194227;pass;0.014978806878624882;pass;0.006636548605255754;pass;0.0;pass
124.265;0.1248118672952021;pass;0.13510257655208097;pass;0.01142930606948836;pass;0.06489742344791904;pass;0.00346992903572918;pass;0.0;pass
124.368;0.127350761638521;pass;0.1;pass;0.024242324587025577;pass;0.1;pass;0.021840837724900197;pass;0.0;pass
124.478;0.27430813357485384;pass;0.1;pass;0.03956762242463585;pass;0.1;pass;0.09473244327906283;pass;0.0;pass
